iter	RMSE
0	8022.680692
1	7646.193991
2	7335.751893
3	7041.713836
4	6766.84721
5	6544.760988
6	6306.918321
7	6110.767724
8	5950.450698
9	5794.220907
10	5657.656931
11	5552.781847
12	5448.624664
13	5345.437798
14	5251.308002
15	5174.460879
16	5097.249828
17	5032.867435
18	4973.917005
19	4917.92109
20	4875.301455
21	4822.156934
22	4791.978184
23	4757.794476
24	4726.100192
25	4698.116172
26	4664.810466
27	4634.436622
28	4603.495778
29	4576.109586
30	4554.299539
31	4532.362802
32	4517.054682
33	4490.014271
34	4466.018379
35	4446.067734
36	4431.935847
37	4414.678711
38	4397.233191
39	4371.266023
40	4358.63622
41	4342.405191
42	4321.970913
43	4307.589986
44	4290.89946
45	4272.459069
46	4257.185574
47	4243.70349
48	4235.087803
49	4223.715578
50	4210.682985
51	4198.346758
52	4187.790405
53	4177.408438
54	4164.641571
55	4143.983643
56	4128.420907
57	4116.319071
58	4101.450008
59	4090.735078
60	4084.392389
61	4067.884872
62	4064.64869
63	4053.615145
64	4034.248352
65	4028.627671
66	4021.485236
67	4015.362295
68	4006.508537
69	3992.298079
70	3980.376489
71	3968.629763
72	3958.420226
73	3950.401231
74	3942.252369
75	3928.977234
76	3920.776524
77	3904.460167
78	3896.338351
79	3891.123784
80	3884.396185
81	3872.276518
82	3861.026253
83	3854.988736
84	3847.91245
85	3837.645029
86	3828.547176
87	3816.996144
88	3804.296294
89	3795.258056
90	3787.117057
91	3779.169699
92	3762.135384
93	3754.101866
94	3741.511732
95	3734.076487
96	3722.363943
97	3709.798718
98	3697.873502
99	3692.696699
100	3685.388397
101	3671.378784
102	3660.221222
103	3644.953415
104	3638.205465
105	3631.920544
106	3626.927419
107	3623.334439
108	3613.909187
109	3604.811047
110	3594.015513
111	3591.068478
112	3580.813523
113	3571.451737
114	3567.85141
115	3565.076066
116	3556.469042
117	3546.902903
118	3537.320019
119	3531.386064
120	3526.266867
121	3520.449859
122	3513.188608
123	3506.159859
124	3498.097737
125	3487.607578
126	3479.987984
127	3475.549324
128	3467.842083
129	3460.350811
130	3453.076408
131	3448.22384
132	3440.631293
133	3438.825344
134	3433.256803
135	3426.622645
136	3421.884531
137	3416.451845
138	3408.947985
139	3401.375569
140	3397.445881
141	3387.378202
142	3381.341009
143	3379.115665
144	3373.009686
145	3367.157711
146	3349.158772
147	3342.791537
148	3331.427375
149	3321.715208
150	3313.905442
151	3305.068857
152	3298.083354
153	3289.601261
154	3285.997637
155	3280.619064
156	3275.966287
157	3268.655049
158	3261.490517
159	3246.874457
160	3236.789442
161	3226.212807
162	3221.725614
163	3220.33251
164	3215.345055
165	3209.076444
166	3199.651988
167	3194.902514
168	3187.685284
169	3183.793024
170	3177.376147
171	3171.73702
172	3162.696314
173	3159.76314
174	3153.294018
175	3147.846069
176	3138.836549
177	3127.993502
178	3120.787369
179	3107.39516
180	3097.58222
181	3086.573494
182	3080.907715
183	3070.552996
184	3064.463657
185	3063.30988
186	3054.205883
187	3051.125804
188	3045.717223
189	3036.096191
190	3030.682006
191	3023.261537
192	3022.078941
193	3017.619745
194	3016.67606
195	3010.306812
196	3001.989619
197	2996.644058
198	2989.096857
199	2979.685688
200	2974.602476
201	2971.928938
202	2964.805908
203	2962.239068
204	2958.225138
205	2955.228149
206	2949.44789
207	2944.75906
208	2939.151359
209	2936.833327
210	2934.481243
211	2925.98046
212	2916.27227
213	2902.275331
214	2897.634656
215	2889.671725
216	2887.667955
217	2880.395502
218	2872.175346
219	2867.37299
220	2861.674606
221	2855.951621
222	2851.252918
223	2845.805955
224	2841.523987
225	2836.499532
