iter	Passed	Remaining
0	33	16467
1	62	15504
2	90	14995
3	115	14331
4	145	14390
5	174	14350
6	195	13801
7	225	13891
8	255	13923
9	279	13709
10	307	13650
11	328	13355
12	357	13378
13	380	13207
14	411	13299
15	438	13270
16	462	13145
17	492	13179
18	521	13195
19	542	13015
20	572	13061
21	596	12953
22	626	12992
23	656	13029
24	685	13025
25	706	12881
26	738	12931
27	761	12833
28	790	12831
29	827	12957
30	874	13235
31	905	13241
32	936	13252
33	960	13161
34	989	13149
35	1020	13150
36	1051	13159
37	1083	13172
38	1109	13120
39	1147	13194
40	1180	13211
41	1217	13275
42	1247	13260
43	1266	13122
44	1283	12972
45	1298	12814
46	1312	12652
47	1327	12501
48	1341	12349
49	1356	12207
50	1377	12127
51	1393	12004
52	1408	11880
53	1424	11766
54	1438	11641
55	1453	11521
56	1467	11409
57	1482	11301
58	1499	11207
59	1514	11108
60	1529	11007
61	1544	10910
62	1558	10808
63	1571	10708
64	1590	10644
65	1605	10555
66	1620	10473
67	1634	10383
68	1649	10303
69	1665	10232
70	1681	10159
71	1697	10092
72	1713	10024
73	1729	9958
74	1746	9898
75	1763	9835
76	1778	9769
77	1793	9702
78	1808	9635
79	1823	9571
80	1837	9503
81	1854	9451
82	1868	9389
83	1884	9333
84	1897	9266
85	1912	9207
86	1928	9156
87	1943	9097
88	1958	9044
89	1975	8997
90	1990	8946
91	2005	8892
92	2020	8844
93	2034	8788
94	2050	8742
95	2066	8695
96	2082	8652
97	2098	8606
98	2113	8560
99	2127	8509
100	2142	8464
101	2157	8417
102	2172	8371
103	2187	8328
104	2201	8281
105	2216	8237
106	2230	8192
107	2245	8150
108	2259	8106
109	2275	8069
110	2291	8030
111	2305	7988
112	2321	7949
113	2336	7911
114	2352	7875
115	2368	7839
116	2383	7803
117	2398	7765
118	2413	7727
119	2427	7687
120	2440	7644
121	2455	7608
122	2470	7571
123	2485	7535
124	2500	7500
125	2514	7463
126	2528	7427
127	2543	7393
128	2558	7358
129	2576	7334
130	2592	7302
131	2605	7262
132	2620	7230
133	2634	7195
134	2648	7161
135	2663	7128
136	2681	7104
137	2695	7071
138	2710	7040
139	2725	7008
140	2740	6978
141	2755	6947
142	2772	6921
143	2787	6891
144	2801	6859
145	2817	6831
146	2832	6802
147	2847	6773
148	2862	6744
149	2879	6718
150	2894	6690
151	2909	6660
152	2923	6630
153	2938	6601
154	2951	6569
155	2966	6541
156	2982	6516
157	2997	6488
158	3013	6462
159	3027	6433
160	3043	6407
161	3057	6378
162	3072	6351
163	3086	6322
164	3099	6292
165	3116	6270
166	3130	6242
167	3145	6216
168	3161	6191
169	3176	6166
170	3191	6139
171	3207	6116
172	3221	6088
173	3234	6060
174	3247	6031
175	3261	6004
176	3276	5979
177	3292	5956
178	3307	5930
179	3322	5906
180	3336	5880
181	3351	5855
182	3366	5831
183	3380	5805
184	3393	5778
185	3408	5754
186	3424	5731
187	3439	5708
188	3453	5683
189	3468	5659
190	3482	5634
191	3497	5611
192	3511	5585
193	3526	5562
194	3540	5537
195	3555	5513
196	3572	5494
197	3589	5474
198	3605	5453
199	3620	5430
200	3637	5411
201	3654	5391
202	3672	5372
203	3688	5352
204	3705	5332
205	3722	5312
206	3739	5292
207	3754	5271
208	3771	5251
209	3789	5233
210	3809	5217
211	3825	5197
212	3840	5175
213	3857	5155
214	3874	5136
215	3892	5118
216	3909	5099
217	3927	5079
218	3943	5060
219	3961	5041
220	3977	5021
221	3994	5002
222	4011	4983
223	4028	4964
224	4046	4945
225	4064	4927
226	4081	4908
227	4097	4887
228	4111	4865
229	4126	4844
230	4141	4822
231	4156	4800
232	4169	4778
233	4184	4756
234	4199	4735
235	4213	4713
236	4228	4691
237	4243	4671
238	4258	4650
239	4273	4629
240	4288	4608
241	4301	4586
242	4316	4565
243	4331	4544
244	4346	4523
245	4362	4504
246	4376	4483
247	4392	4462
248	4406	4441
249	4421	4421
250	4434	4398
251	4448	4377
252	4463	4357
253	4478	4337
254	4493	4317
255	4509	4297
256	4526	4279
257	4543	4261
258	4560	4243
259	4575	4223
260	4591	4204
261	4607	4184
262	4621	4164
263	4636	4144
264	4650	4123
265	4663	4102
266	4680	4084
267	4696	4065
268	4712	4046
269	4728	4027
270	4742	4007
271	4758	3989
272	4773	3969
273	4789	3950
274	4805	3931
275	4821	3913
276	4836	3893
277	4851	3874
278	4866	3854
279	4882	3835
280	4897	3817
281	4913	3798
282	4927	3778
283	4943	3759
284	4957	3740
285	4972	3720
286	4987	3701
287	5002	3682
288	5018	3664
289	5033	3644
290	5048	3625
291	5062	3606
292	5075	3586
293	5091	3567
294	5106	3548
295	5122	3530
296	5137	3511
297	5154	3494
298	5170	3475
299	5185	3457
300	5200	3437
301	5214	3418
302	5229	3399
303	5243	3380
304	5256	3360
305	5271	3342
306	5286	3323
307	5300	3304
308	5315	3285
309	5330	3267
310	5346	3248
311	5359	3229
312	5376	3211
313	5389	3192
314	5403	3173
315	5419	3155
316	5434	3137
317	5449	3119
318	5464	3100
319	5481	3083
320	5494	3063
321	5508	3045
322	5523	3026
323	5579	3030
324	5603	3017
325	5618	2999
326	5635	2981
327	5651	2963
328	5666	2945
329	5680	2926
330	5697	2908
331	5711	2890
332	5731	2874
333	5747	2856
334	5761	2837
335	5774	2818
336	5791	2801
337	5805	2782
338	5822	2765
339	5837	2747
340	5851	2728
341	5866	2710
342	5880	2691
343	5897	2674
344	5910	2655
345	5926	2638
346	5942	2620
347	5958	2602
348	5972	2584
349	5989	2566
350	6003	2548
351	6021	2531
352	6037	2514
353	6052	2496
354	6065	2477
355	6079	2458
356	6095	2441
357	6109	2423
358	6124	2405
359	6137	2386
360	6153	2369
361	6166	2350
362	6181	2332
363	6197	2315
364	6211	2297
365	6228	2280
366	6242	2262
367	6258	2245
368	6271	2226
369	6288	2209
370	6302	2191
371	6318	2174
372	6331	2155
373	6344	2137
374	6361	2120
375	6375	2102
376	6390	2085
377	6404	2067
378	6423	2050
379	6437	2033
380	6454	2015
381	6469	1998
382	6484	1981
383	6498	1963
384	6514	1945
385	6530	1928
386	6547	1911
387	6561	1893
388	6574	1876
389	6591	1859
390	6606	1841
391	6622	1824
392	6637	1807
393	6655	1790
394	6669	1773
395	6686	1755
396	6699	1738
397	6714	1720
398	6728	1703
399	6745	1686
400	6760	1668
401	6773	1651
402	6788	1633
403	6802	1616
404	6820	1599
405	6835	1582
406	6853	1565
407	6867	1548
408	6884	1531
409	6898	1514
410	6914	1497
411	6929	1480
412	6946	1463
413	6960	1445
414	6976	1428
415	6989	1411
416	7004	1394
417	7020	1377
418	7035	1360
419	7051	1343
420	7065	1325
421	7082	1309
422	7096	1291
423	7113	1275
424	7127	1257
425	7142	1240
426	7157	1223
427	7172	1206
428	7186	1189
429	7199	1172
430	7215	1155
431	7228	1137
432	7245	1121
433	7259	1103
434	7276	1087
435	7290	1070
436	7305	1053
437	7320	1036
438	7336	1019
439	7349	1002
440	7363	985
441	7380	968
442	7393	951
443	7409	934
444	7423	917
445	7438	900
446	7452	883
447	7468	866
448	7483	850
449	7497	833
450	7513	816
451	7530	799
452	7547	783
453	7561	766
454	7577	749
455	7591	732
456	7607	715
457	7621	698
458	7637	682
459	7651	665
460	7666	648
461	7681	631
462	7695	615
463	7712	598
464	7727	581
465	7745	565
466	7760	548
467	7777	531
468	7792	515
469	7811	498
470	7825	481
471	7841	465
472	7856	448
473	7873	431
474	7886	415
475	7901	398
476	7917	381
477	7934	365
478	7949	348
479	7967	331
480	7980	315
481	7993	298
482	8009	281
483	8024	265
484	8040	248
485	8053	231
486	8069	215
487	8083	198
488	8098	182
489	8113	165
490	8128	148
491	8142	132
492	8156	115
493	8172	99
494	8186	82
495	8203	66
496	8217	49
497	8233	33
498	8246	16
499	8262	0
